"TEMA","SUBTEMA","VARIABLE","CLASE","Fuente","AÑO","Mes","Valor"
"Informacion Destacada del turismo internacional","Americas","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2013","","229"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2013","","359"
"Informacion Destacada del turismo internacional","Africa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2013","","34"
"Informacion Destacada del turismo internacional","Medio Oriente","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2013","","47"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Ocio,recreación,vacaciones","International Tourism Highlights (2012-2019)","2013","","52.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","VFR, salud,religión, otro","International Tourism Highlights (2012-2019)","2013","","27.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Negocios y profesional","International Tourism Highlights (2012-2019)","2013","","14.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","No especificado","International Tourism Highlights (2012-2019)","2013","","7.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Aire","International Tourism Highlights (2012-2019)","2013","","53.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Terrestre y tren","International Tourism Highlights (2012-2019)","2013","","42.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Agua","International Tourism Highlights (2012-2019)","2013","","5.0%"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2014","","58.8%"
"Generación de empleo turismo","Empleo Turismo Bogotá","Total","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2014","","268369.33333333"
"Generación de empleo turismo","Sectores directos","Agencias de viaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2014","","8926.1666666667"
"Generación de empleo turismo","Sectores directos","Alojamiento y hospedaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2014","","13287.75"
"Generación de empleo turismo","Sectores conexos","Alimentos y bebidas","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2014","","149753.08333333"
"Generación de empleo turismo","Sectores conexos","Esparcimiento","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2014","","1425.3333333333"
"Generación de empleo turismo","Sectores conexos","Transporte aéreo","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2014","","10674.083333333"
"Generación de empleo turismo","Sectores conexos","Transporte terrestre","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2014","","84302.916666667"
"Generación de empleo turismo","Participación % ","Porcentaje","Empleo Turismo/ Turismo Bogota","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020","2014","","6.4%"
"Conectividad directa internacional","Ciudades","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2014","","39"
"Conectividad directa internacional","Aerolíneas","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2014","","28"
"Conectividad directa internacional","Vuelos","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2014","","3058"
"Conectividad directa internacional","Sillas","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2014","","426588"
"Conectividad directa internacional","Pasajeros","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2014","","4137399"
"Índice de Presión Turística","índice","índice","índice","Observatorio de Turismo","2014","","1.3"
"PIB","Participación % ","Porcentaje","Subsector: Alojamiento y servicio de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2014","","2.8%"
"PIB","Participación % ","Porcentaje","Sector: Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2014","","19.4%"
